Tên dự án,Giá,Diện tích,Phòng ngủ,Phòng vệ sinh,Vị trí,Định Vị,Latitude,Longitude,Total_Amenities,Average_Distance_All,Average_Distance_Hospital,Average_Distance_School,Average_Distance_Restaurant,Average_Distance_Attraction,Average_Distance_Public_Transport
Em sẵn mấy lô kiot cần bán và cho thuê HH Linh Đàm giá trị ròng tiền cao Hoàng Liệt,16 tỷ,86 m²,1,1,"Hoàng Mai, Hà Nội","HH1 Linh Đàm, Linh Đường, Hoàng Liệt, Hoàng Mai, Hà Nội",20.95974673,105.8326955,11,1.1578711280520388,0.8509377898315337,1.2900370228688092,1.1450762214477805,0.0,0.0
"Bán nhà gần phố Lê Trọng Tấn, Hà Đông, 50m2, 4 tầng, ô tô đỗ cổng, ngõ thông, giá hơn 6 tỷ","6,29 tỷ",50 m²,4,3,"Hà Đông, Hà Nội","Đường Lê Trọng Tấn, Phường La Khê, Hà Đông, Hà Nội",20.96415289,105.7616362,16,1.6742901925491975,2.0019599436855566,0.0,1.5878090197229338,2.1432059370179073,0.0
"Bán ngộp nhà phố 6x20m tặng nội thất 1,3 tỷ Novaworld Phan Thiết. Giá 4, xtỷ, chìa khóa trao tay",Giá thỏa thuận,120 m²,2,3,"Phan Thiết, Bình Thuận"," Đường Lạc Long Quân,  Xã Tiến Thành,  Phan Thiết,  Bình Thuận",10.8392254,108.0394437,1,1.4620302581851152,0.0,0.0,0.0,1.4620302581851152,0.0
Tin chuẩn T2/2025 - duplex tầng Sky Garden - DT 217m2 - full - Sẵn giá 16 tỷ - HĐT 50tr/tháng,16 tỷ,217 m²,4,3,"Quận 2, Hồ Chí Minh"," Đường Phan Văn Đáng,  Phường Thạnh Mỹ Lợi,  Quận 2,  Hồ Chí Minh",10.77073175,106.7702559,52,1.9204651183252988,1.5456194481213348,1.4996857871519176,2.02051854670775,0.9384686862975025,0.0
"Tin chuẩn 100% - 3 phòng ngủ DT lớn 171m2 - Giá 15,5 tỷ - View trực diện hồ bơi - Tầng cao","15,5 tỷ",171 m²,3,4,"Quận 2, Hồ Chí Minh"," Đường Xa Lộ Hà Nội,  Phường An Phú,  Quận 2,  Hồ Chí Minh",10.7365876,106.7120245,109,1.2267768135034145,1.6867338601728834,1.5161008760853787,1.1590947137101744,1.2486633864966536,0.0
Cần bán căn 1 ngủ toà B westbay giá 2.18 tỷ bao phí full đồ Lh 0961 694 ***,"2,18 tỷ",45 m²,1,1,"Văn Giang, Hưng Yên","Westbay Sky Residences - Ecopark , Xã Phụng Công, Huyện Văn Giang, Hưng Yên",20.9478817,105.9237285,1,1.0755036058198493,0.0,0.0,1.0755036058198493,0.0,0.0
"Cần Bán gấp căn BT Sun Feria Hạ Long DT 406m2 giá chỉ 90 tr/m2 bao rẻ NHẤT TT ,Cách mặt biển 150m",38 tỷ,406 m²,7,8,"Hạ Long, Quảng Ninh"," Thành phố Hạ Long,  Quảng Ninh",20.9528365,107.0800003,8,1.0186322307683071,0.0,0.0,1.0862284950551966,0.5454583807600812,0.0
Mở bán đợt 1 chỉ 2 tỷ 4 sở hữu ngay căn 3N cao cấp Kepler Tower - bàn giao full nội thất nhập khẩu,"8,03 tỷ",103 m²,3,2,"Hà Đông, Hà Nội","Tháp đôi Kepler Land, Đường Vũ Trọng Khánh, Phường Mỗ Lao, Hà Đông, Hà Nội",20.9821715,105.7842539,32,1.5678301750677546,1.5468325431351557,1.9060471647189758,1.5147334918128788,1.0967637348270365,0.0
"Mặt tiền Phan Văn Hớn, P. Tân Thới Nhất chỉ 11.5 tỉ","11,5 tỷ",72 m²,4,5,"Quận 12, Hồ Chí Minh","Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",10.82831212,106.6200455,28,1.6626539234975888,0.4279744098949528,1.6699430015465668,1.77373044217459,0.0,0.0
"Thanh lý gấp nhà Phan Văn Hân, p.17, Bình Thạnh. Giá 3,56 tỷ, DT 60m2, LH Như 0766 372 ***, đường 5m","3,56 tỷ",60 m²,4,4,"Bình Thạnh, Hồ Chí Minh","Đường Phan Văn Hân, Phường 17, Bình Thạnh, Hồ Chí Minh",10.79427542,106.7036204,536,1.6922639337849468,1.6192969113196753,1.5377114314328166,1.7031147467202914,1.5168132669756118,0.0
"Bán nhà chung cư mini Phùng Khoang 68m2, 7T 16 phòng, full nội thất, lô góc HĐ 80tr/tháng giá 13 tỷ",13 tỷ,68 m²,16,16,"Nam Từ Liêm, Hà Nội","Đường Phùng Khoang, Phường Trung Văn, Nam Từ Liêm, Hà Nội",20.98866422,105.7904083,39,1.8449936164991065,1.26103880620995,1.913639368181289,1.909012671325305,1.9764048124290712,0.0
"Bán nhà riêng tại An Hoà, Biên Hoà, Đồng Nai. Số nhà 580/15/3/14C Nguyễn Văn Tỏ; Sổ hồng chính chủ.","2,25 tỷ",70 m²,3,4,"Biên Hòa, Đồng Nai","Phường An Hòa, Biên Hòa, Đồng Nai",10.889287,106.8625513,2,0.3105373868815496,0.11277161515319109,0.508303158609908,0.0,0.0,0.0
Căn nhà ngay mặt tiền Tân Thới Nhất 05 chỉ 3.500 tỷ,"3,5 tỷ",64 m²,3,3,"Quận 12, Hồ Chí Minh","Đường Tân Thới Nhất 5, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",10.82890563,106.6138427,25,1.680813747458175,0.9303550263084825,1.476975374889585,1.970449817766984,2.184810608911436,0.0
"Bán biệt thự tại Lộc Ninh Singashine, 8,45 tỷ, 67,5m2, 5PN, 4WC","8,45 tỷ","67,5 m²",5,4,"Chương Mỹ, Hà Nội","Lộc Ninh Singashine, Đường Quốc lộ 6, Thị trấn Chúc Sơn, Chương Mỹ, Hà Nội",20.9330812,105.7208171,1,2.0659954559753144,2.0659954559753144,0.0,0.0,0.0,0.0
"Mặt tiền kinh doanh ngay TÂN THỚI NHẤT 17, kinh doanh đa ngành, đúc 4 lầu 4x19m, 10,5 tỷ","10,5 tỷ",75 m²,4,5,"Quận 12, Hồ Chí Minh","Đường Dương Thị Giang, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",10.8225508,106.6199272,30,1.7274006463508018,1.0414218671382995,1.7037616942398683,1.8284442751880123,0.0,0.0
"Bán tòa CHDV Nguyễn Văn Lượng, 35 phòng 10x20m 1T4L, doanh thu 140tr/thg, gần Lotte GV, giá 22.5 tỷ","22,5 tỷ",200 m²,35,35,"Gò Vấp, Hồ Chí Minh","Đường Nguyễn Văn Lượng, Phường 17, Gò Vấp, Hồ Chí Minh",10.83862235,106.6726579,33,1.623542859758577,1.2136535013473437,1.7095850480241845,1.5556077420685253,1.9837385831821945,0.0
"VIP TX43 - nhà sổ hồng- 2mt trước sau- 5,45x7,5=41m2 - 5 phòng - đường thông 7m-3,68 tỷ","3,68 tỷ",41 m²,5,5,"Quận 12, Hồ Chí Minh","Đường Thạnh Xuân 43, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",10.88984714,106.6748567,3,2.035684214831239,0.0,1.8248721014732419,2.457308441547233,0.0,0.0
Chính chủ cần bán căn hộ Vinhomes Ocean Park Đa Tốn Gia Lâm 43m2 1PN + Thoáng mát,"2,3 tỷ",43 m²,2,1,"Gia Lâm, Hà Nội"," Xã Đa Tốn,  Gia Lâm,  Hà Nội",20.9862042,105.930004,11,1.868597715768532,0.0,0.0,1.806234914372893,2.4922257297249213,0.0
"Bán nhà gần cầu Sắt cách Gò Vấp 1km, 56m2 - 2,4 tỷ. Vườn Lài, An Phú Đông, Quận 12. LH 0765 369 ***",Giá thỏa thuận,56 m²,4,4,"Quận 12, Hồ Chí Minh","Đường Vườn Lài, Phường An Phú Đông, Quận 12, Hồ Chí Minh",10.85476746,106.6927469,12,1.5805799441834365,1.7461661570422227,1.268207582004798,1.8132925438558376,0.0,0.0
"Nhà siêu rẻ Tân Xuân Hóc Môn ngay thị trấn 5x17 hẻm ô tô, sổ hồng riêng giá 2,78tỷ thương lượng","2,78 tỷ",72 m²,2,1,"Hóc Môn, Hồ Chí Minh","Đường 2, Xã Tân Xuân, Hóc Môn, Hồ Chí Minh",10.88119541,106.5967076,14,1.5614722563788508,0.0,1.6778313217739849,1.4451131909837174,0.0,0.0
"Nhà phố Verosa Park full nội thất. DT 6x20m, sổ hồng sẵn, xây 1 trệt 2 lầu nội thất cao cấp, 18tỷ",18 tỷ,120 m²,4,3,"Quận 9, Hồ Chí Minh"," Đường Liên Phường,  Phường Phú Hữu,  Quận 9,  Hồ Chí Minh",10.7608529,106.7012374,672,1.5588085420078872,1.7017116046133844,1.7689828113224844,1.5499185042159618,1.6720440661285272,0.0
Bán biệt thự vip khu Q - View sân golf Ciputra Hà Nội - DT 428m2 hướng Đông Bắc. LH: 0922 969 ***,Giá thỏa thuận,428 m²,5,4,"Tây Hồ, Hà Nội"," Đường Lạc Long Quân,  Phường Phú Thượng,  Tây Hồ,  Hà Nội",21.07332352,105.8127116,86,1.518700141598,0.0,1.1529870509292899,1.523578855825645,1.8778447878282851,0.0
"Siêu phẩm nhà đẹp 50m2 đường Đặng Thuỳ Trâm, Bình Thạnh. Giá chỉ 2tỷ590. Sát bên ĐH Văn Lang","2,59 tỷ",50 m²,4,4,"Bình Thạnh, Hồ Chí Minh","Đường Đặng Thùy Trâm, Phường 13, Bình Thạnh, Hồ Chí Minh",10.83108614,106.7020588,37,1.7477694708281488,0.0,1.8624400655807514,1.71613620331019,0.0,0.0
"Bán nhà 86m sổ, xây 6 tầng, Full diện tích, có 12 phòng cho thuê, giá đầu tư, nhanh mới còn","16,5 tỷ",86 m²,12,12,"Thanh Xuân, Hà Nội","Phố Hạ Đình, Phường Hạ Đình, Thanh Xuân, Hà Nội",20.99074734,105.8069282,53,1.6920263437322514,1.3736943804262083,1.8987390246873976,1.6691653710092915,0.0,0.0
"Siêu phẩm nhà ngộp đ.Minh Phụng, p.9, Quận 11. Giá 3,23 tỷ, DT 56m2, LH Như 0766 372 ***, hẻm rộng","3,23 tỷ",56 m²,4,4,"Quận 11, Hồ Chí Minh","Đường Minh Phụng, Phường 9, Quận 11, Hồ Chí Minh",10.7704304,106.650936,194,1.810004747123705,1.7601026823573496,1.4460197177749927,1.9114245813231134,0.0,0.0
"Nhà ngộp chính chủ bán Đ. Trương Quốc Dung, P10, Phú Nhuận 35m2 hẻm ba giác, sổ riêng",Giá thỏa thuận,35 m²,2,2,"Phú Nhuận, Hồ Chí Minh","Đường Trương Quốc Dung, Phường 10, Phú Nhuận, Hồ Chí Minh",10.79474408,106.6728401,320,1.595746499470613,0.9878438966813299,1.3567638531595376,1.6301951272974273,2.034004225647481,0.0
Quỹ căn hộ khoáng nóng bao nội thất chưa tới 1 tỷ. view Sông Đà. làm việc trực tiếp chủ nhà,950 triệu,"32,4 m²",1,1,"Thanh Thủy, Phú Thọ"," Xã Bảo Yên,  Thanh Thủy,  Phú Thọ",21.123781,105.287858,0,0.0,0.0,0.0,0.0,0.0,0.0
Biệt thự đơn lập DT 460m2 full nội thất cao cấp đẹp nhất dự án Hồ cá koi DT sàn 450m2 giá 53.5 tỷ,"53,5 tỷ",460 m²,4,4,"Quận 9, Hồ Chí Minh"," Đường D3,  Phường Phước Long B,  Quận 9,  Hồ Chí Minh",10.8063168,106.7784645,5,2.1800582454540534,0.0,2.154343557290483,2.2186302776994085,0.0,0.0
"Đừng bỏ lỡ biệt thự An Lạc có hầm siêu lớn 122m2. DT đất 193m2, xây sẵn 4 tầng phong cách Châu Âu",Giá thỏa thuận,193 m²,4,5,"Hoài Đức, Hà Nội","An Lạc Green Symphony, Vân Canh, Hoài Đức, Hà Nội",21.02468975,105.7301004,1,2.4568057294568746,2.4568057294568746,0.0,0.0,0.0,0.0
"Chính chủ: Bán nhà 4 tầng - xã Tứ Hiệp - Thanh Trì MT 4.15m - DT 41,5m2 - giá 5. 5 tỷ","5,5 tỷ","41,5 m²",4,3,"Thanh Trì, Hà Nội","Xã Tứ Hiệp, Thanh Trì, Hà Nội",20.9464541,105.8553648,3,1.9162763703791257,1.9643358483144437,1.8201574145084898,0.0,0.0,0.0
"Cần bán gấp nhà riêng 50m2, Nam Kỳ Khởi Nghĩa, Phường 7, Quận 3, HCM - Giá 2tỷ050 (không TL)","2,05 tỷ",50 m²,3,2,"Quận 3, Hồ Chí Minh","Đường Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",10.7824775,106.6918757,931,1.4612004459631178,1.534762930329082,1.6796216099530976,1.451912337772365,1.5092535118952894,0.0
"Bán gấp căn góc 2 ngủ 76m2, sẵn sổ hồng lâu dài, mua bán chính chủ giá thương lượng LH 0968 602 ***",Giá thỏa thuận,76 m²,2,2,"Hai Bà Trưng, Hà Nội","Chung cư 536A Minh Khai, số 536A, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",20.99496378,105.8675578,31,1.708074408433184,0.0,1.2127810898923164,1.7838861069068548,1.7181435222812071,0.0
"Bán căn hộ biển 5 tầng thang máy đường Thạch Lam, Q.Sơn Trà, dòng tiền 50tr/th.",12 tỷ,81 m²,7,7,"Sơn Trà, Đà Nẵng","Phố Thạch Lam, Phường Phước Mỹ, Sơn Trà, Đà Nẵng",16.066197,108.2440692,320,1.6112529487998217,1.7837312140248565,1.6858720043031006,1.5987717435573174,1.8925741035249206,0.0
"Bán nhà riêng DT 46,8m2 tại Lê Trực, P7, Bình Thạnh, HCM, sổ hồng chính chủ công chứng giá 2 tỷ 150","2,15 tỷ","46,8 m²",3,4,"Bình Thạnh, Hồ Chí Minh","Đường Lê Trực, Phường 7, Bình Thạnh, Hồ Chí Minh",10.80875758,106.6894354,197,1.8286891983663498,1.508141644802333,1.7535414079597746,1.8414268780889231,2.0474404530363732,0.0
"Cần bán nhà Nguyễn Khang oto cách 10m. 35m2, 5 tầng giá 7.5 tỷ TL","7,5 tỷ",35 m²,4,4,"Cầu Giấy, Hà Nội","Đường Nguyễn Khang, Phường Dịch Vọng, Cầu Giấy, Hà Nội",21.0350602,105.793398,259,1.5369813393354606,2.0464096192584145,2.0408400989552278,1.5428889154923482,1.3565036445561245,0.0
Biệt thự khu phân lô tuyến 2 Ngô Gia Tự - Lô góc 242m2 - 3 tầng,"19,9 tỷ",242 m²,3,4,"Hải An, Hải Phòng","732, Đường Ngô Gia Tự, Phường Thành Tô, Hải An, Hải Phòng",20.82185595,106.7168918,22,1.5029001307114873,2.0973121237735977,0.99264125658592,1.77118159224552,0.0,0.0
Duy nhất căn biệt thự đơn lập 216m2 Le Jardin ParkCity vị trí cực đẹp giá 60 tỷ. LH 0931 686 ***,60 tỷ,216 m²,6,5,"Hà Đông, Hà Nội"," Đường Lê Trọng Tấn,  Phường La Khê,  Hà Đông,  Hà Nội",20.96415289,105.7616362,16,1.6742901925491975,2.0019599436855566,0.0,1.5878090197229338,2.1432059370179073,0.0
"Bán nhà đẹp Chế Lan Viên, cách bãi tắm biển Mỹ Khê 200m","12,7 tỷ",100 m²,3,4,"Ngũ Hành Sơn, Đà Nẵng","Đường Chế Lan Viên, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",16.04266538,108.2454842,193,1.2625210703227536,1.8402843361736456,1.2831393460577716,1.2428940504030759,1.6642015910886456,0.0
"TRẦN THÁI TÔNG CẦU GIẤY , TRUNG CƯ MINI Ô TÔ ĐỖ CỬA 60M/6T , MT 4,6M SỔ VUÔNG NHỈNH 12 TỶ.( CÓ TL)",12 tỷ,60 m²,16,16,"Cầu Giấy, Hà Nội","Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",21.0365503,105.7858195,209,1.4807988204804365,1.8622805902899142,1.7312761798467937,1.2906149298151541,2.1332213266587234,0.0
"Bán nhà phố Ngọc Khánh Ba Đình, Lô góc, ngõ thông, kinh doanh đỉnh, DT45m2, giá ưu đãi","8,1 tỷ",45 m²,3,3,"Ba Đình, Hà Nội","Phố Ngọc Khánh, Phường Ngọc Khánh, Ba Đình, Hà Nội",21.02678349,105.8178095,305,1.4635612829694742,1.8908179707048447,1.2987271309069255,1.4874074371937038,1.357590007173511,0.0
"Bán nhà Melosa Garden Khang Điền DT 6x18m giá 9.4 tỷ, 0902 442 ***","9,4 tỷ",108 m²,4,4,"Quận 9, Hồ Chí Minh","Melosa Garden, 222, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",10.78603337,106.7909222,10,1.776590133442438,2.412483494246418,1.760289954874629,1.5156940780277801,0.0,0.0
"Chính chủ đi nước ngoài định cư cần bán lại căn nhà mặt tiền Đỗ Trạc, An Khê",3 tỷ,128 m²,3,2,"An Khê, Gia Lai","Đường Đỗ Trạc, Phường Tây Sơn, An Khê, Gia Lai",13.9504742,108.6608142,1,1.3394644533897992,0.0,0.0,1.3394644533897992,0.0,0.0
"Bán tòa CHDV Thái Hà, lô góc 2 thoáng, DT 60tr/th, ba gác, 20m ra ô tô, thang máy, 60m","11,5 tỷ",60 m²,13,13,"Đống Đa, Hà Nội","Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",21.01060316,105.8223619,205,1.7247719004583146,1.5216953468781116,1.5857417023454217,1.7444530690813935,0.0,0.0
"Đất gần biển cực đẹp - đường Dương Hiến Quyền (rộng 7m) - 106m2 ngang 6,59m - giá chỉ 7,6 tỷ","7,6 tỷ",106 m²,2,1,"Nha Trang, Khánh Hòa","Đường Dương Hiến Quyền, Phường Vĩnh Hòa, Nha Trang, Khánh Hòa",12.2899347,109.2057205,33,1.402306693675581,0.0,0.0,1.3597624624682603,2.0617422773890532,0.0
"Bán nhà Melosa Garden Khang Điền, TP. Thủ Đức, DT 5x23m=115m2 giá 9.9 tỷ","9,9 tỷ",115 m²,4,5,"Quận 9, Hồ Chí Minh","Melosa Garden, Vành Đai Trong, Phú Hữu, Quận 9, Hồ Chí Minh",10.7608529,106.7012374,672,1.5588085420078872,1.7017116046133844,1.7689828113224844,1.5499185042159618,1.6720440661285272,0.0
Bán Duplex The View Riviera Point Quận 7. tháp t8,"10,5 tỷ",137 m²,3,2,"Quận 7, Hồ Chí Minh","The View Riviera Point, Huỳnh Tấn Phát, Tân Phú, Quận 7, Hồ Chí Minh",10.7375163,106.7290511,70,1.9401201340506222,1.096461542638767,1.6660326680051665,2.0324157771184863,1.9363211589028784,0.0
"Cần bán gấp nhà Bạch Mã, p.15, Quận 10. Giá 3,15 tỷ, DT 52m2, LH Như 0766 372 ***, hẻm xe hơi 4m","3,15 tỷ",52 m²,2,3,"Quận 10, Hồ Chí Minh","Đường Bạch Mã, Phường 15, Quận 10, Hồ Chí Minh",10.7818399,106.6650821,325,1.5939657746897478,1.7289472790081755,1.737296402198219,1.5593101273049255,1.9541970328614442,0.0
"Cắt lỗ 190 triệu căn hộ Akari City MT Võ Văn Kiệt, 75m2 (có sổ) giá: 3tỷ199 Vay được 70%.0906 651 ***","3,2 tỷ",75 m²,2,2,"Bình Tân, Hồ Chí Minh"," Đường Võ Văn Kiệt,  Phường An Lạc,  Bình Tân,  Hồ Chí Minh",10.72606923,106.6198035,37,1.9835681068546924,2.276219403209754,1.2210795305800535,2.012043093516485,0.0,0.0
Bán nhà khu đấu giá 6.9 Vân Canh lô góc kinh doanh tuyệt vời. 50m2 giá 10 tỷ,10 tỷ,50 m²,4,3,"Hoài Đức, Hà Nội","Xã Vân Canh, Hoài Đức, Hà Nội",21.0349666,105.7296033,16,2.0938615641287925,1.9128968551972672,1.478478025926075,2.150743581781239,0.0,0.0
"Bán biệt thự Vườn Đào Lạc Long Quân Tây Hồ 300 m2 x 4 T X MT 20 m x giá 210 tỷ. Lô góc, vị trí đỉnh",210 tỷ,300 m²,5,4,"Tây Hồ, Hà Nội","Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội",21.06535487,105.8100573,98,1.657405123159067,2.0540205622293266,1.4411811018247664,1.6674997129462077,1.423302120130507,0.0
CẦN BÁN NHÀ TẠI HOÀNG NHƯ TIẾP-BỒ ĐỀ-LONG BIÊN 50m2x7tầng thang máy.,"11,5 tỷ",50 m²,4,4,"Long Biên, Hà Nội","Phường Bồ Đề, Quận Long Biên, Hà Nội",21.0378501,105.876133,156,2.170475668841119,0.7784641035825893,1.5365429597221278,2.194329127229486,2.357264219775074,0.0
"Bán căn nhà phố sân vườn ngang 7m tại Verosa Park. Nhà full nội thất đẹp, giá 17,5 tỷ thương lượng","17,5 tỷ",105 m²,5,5,"Quận 9, Hồ Chí Minh"," Đường Liên Phường,  Phường Phú Hữu,  Quận 9,  Hồ Chí Minh",10.7608529,106.7012374,672,1.5588085420078872,1.7017116046133844,1.7689828113224844,1.5499185042159618,1.6720440661285272,0.0
"Cần bán căn Napoleon căn góc đẹp, tầng cao","2,33 tỷ","71,8 m²",3,2,"Nha Trang, Khánh Hòa","Napoleon Castle I, Đường Nguyễn Đình Chiểu, Phường Vĩnh Phước, Nha Trang, Khánh Hòa",12.2721422,109.1975312,66,1.4376311080019553,2.433546436897083,2.1211771358042983,1.4212729100020594,0.75505245474886,0.0
Bán nhà phố Melosa Garden - căn 80m2 giá 8 tỷ - căn 108m2 giá 10 tỷ. LH 0909 121 *** xem nhà,8 tỷ,85 m²,4,5,"Quận 9, Hồ Chí Minh"," Đường Võ Chí Công,  Phường Phú Hữu,  Quận 9,  Hồ Chí Minh",10.7608529,106.7012374,672,1.5588085420078872,1.7017116046133844,1.7689828113224844,1.5499185042159618,1.6720440661285272,0.0
"Lô góc Ngô Quyền- Hà Đông, 60m2, 7 tầng, giá 13 tỷ, Lô góc, Thang máy, Ô tô, Kinh doanh.",13 tỷ,60 m²,6,8,"Hà Đông, Hà Nội","Đường Ngô Quyền, Phường La Khê, Hà Đông, Hà Nội",20.97070576,105.7601558,18,1.8211841826491724,1.8922636197406724,0.0,1.816647890112499,1.7470696965162749,0.0
"Bán gấp chung cư Masteri Thảo Điền Quận 2 tầng 15, 71m2 sổ hồng riêng Tài Trần","1,8 tỷ",71 m²,2,2,"Quận 2, Hồ Chí Minh"," Đường Xa Lộ Hà Nội,  Phường Thảo Điền,  Quận 2,  Hồ Chí Minh",10.8037248,106.7462249,101,1.4292743120052722,1.0458950967716294,1.1810054080794257,1.4655891177451417,1.9170759846461383,0.0
Nhà ngộp 2Tỷ080Triệu ở Phạm Ngũ Lão Q1 bán gấp 40m2 để nội thất căn bản,"2,08 tỷ",40 m²,2,2,"Quận 1, Hồ Chí Minh","Đường Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",10.76810343,106.6918789,884,1.3147528233825168,1.6471447348309602,1.8603773931646157,1.2971451403385243,1.2135059225479699,0.0
HƯƠNG LỘ 2 HẺM 6M - 4 X 12 NHÀ 2 TẦNG,"3,85 tỷ",48 m²,2,2,"Bình Tân, Hồ Chí Minh","Đường Hương lộ 2, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",10.76765084,106.6019928,7,2.034156395632841,0.0,1.9463980133087648,2.253552351443032,0.0,0.0
KHU TÊN LỬA NHÀ 3 TẦNG ĐÚC HẺM THÔNG 5M KINH DOANH ĐƯỢC CHỈ 5.7 ĐỒNG. - 4 X 13 MỘT trệt 2 lầu nh,"5,7 tỷ",52 m²,4,3,"Bình Tân, Hồ Chí Minh","Đường 29, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh",10.7504813,106.6128383,54,1.1931448564822587,0.7981329903057903,1.9821832449823011,1.046369931734643,0.0,0.0
"Nhà rẻ nhất khu vực - hẻm Trần Quang Khải, Tân Định, Q1. 3 tầng, 4PN, 3WC, 54m2 chỉ với 7,5 tỷ","7,5 tỷ",54 m²,4,3,"Quận 1, Hồ Chí Minh","Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh",10.79154216,106.6891095,666,1.6863587223789809,1.8079987300931184,1.6437036746643352,1.6822996572972675,1.8831058578995028,0.0
"Bán biệt thự vip nhất TP Hồ Chí Minh - The Venica Khang Điền, giá 58,5 tỷ căn Biệt thự song lập","58,5 tỷ",262 m²,4,5,"Quận 9, Hồ Chí Minh"," Đường Đỗ Xuân Hợp,  Phường Phú Hữu,  Quận 9,  Hồ Chí Minh",10.7608529,106.7012374,672,1.5588085420078872,1.7017116046133844,1.7689828113224844,1.5499185042159618,1.6720440661285272,0.0
"0901 755 ***! CC Bán gấp CC Hateco Hoàng Mai P2009: 76,7m2 và 1518 - 52m2, full NT giá 54 tr/m2 (GDG)","2,81 tỷ",52 m²,2,1,"Hoàng Mai, Hà Nội"," Đường Trần Thủ Độ,  Phường Yên Sở,  Hoàng Mai,  Hà Nội",20.9635712,105.8701509,2,0.5833770628251075,0.0,0.5833770628251075,0.0,0.0,0.0
"NHÀ 4 TẦNG CÓ THANG MÁY, THIẾT KẾ HIỆN ĐẠI ĐƯỜNG SỐ 8 KĐT HÀ QUANG II CHỈ 10.4 TỶ","10,4 tỷ",100 m²,3,4,"Nha Trang, Khánh Hòa","Khu đô thị Lê Hồng Phong II, Lê Hồng Phong, Phước Hải, Nha Trang, Khánh Hòa",12.23097278,109.1822217,252,1.599545000428606,2.4516573940664275,1.7191670871442064,1.592620955343987,0.0,0.0
"Bán gấp nhà 20/ Kỳ Đồng, P9 Quận 3, DT 42m2, 3 phòng ngủ, sổ hồng riêng, hẻm vào 4m, giá 2 tỷ 900","2,9 tỷ",42 m²,3,3,"Quận 3, Hồ Chí Minh","20/, Phố Kỳ Đồng, Phường 9, Quận 3, Hồ Chí Minh",10.7841175,106.6824226,848,1.7721951047821618,1.8688323058178935,1.710285183348089,1.7737472096153035,1.8151057690439631,0.0
Bán nhà phân lô quân đội Ngọc Thụy 40m2 ngõ thông ô tô vòng quanh 6.2 tỉ,"6,2 tỷ",40 m²,1,1,"Long Biên, Hà Nội","Phường Ngọc Thụy, Long Biên, Hà Nội",21.0601064,105.8670441,27,1.729208682445024,1.9379470368564962,1.9165350772469565,1.7049007181110516,0.0,0.0
"Nguyễn Kiệm, P3, Gò Vấp - 48m2 giá 4,47 tỷ/ kế siêu thị Coopmart, có hợp đồng thuê 16tr/ tháng","4,47 tỷ",48 m²,3,4,"Gò Vấp, Hồ Chí Minh","Hẻm 671, Đường Nguyễn Kiệm, Phường 3, Gò Vấp, Hồ Chí Minh",10.82027752,106.6788119,80,1.7628276000742589,2.0224365642155386,1.622366628752668,1.819750157607874,0.8135461965598055,0.0
Nhà 3 tầng mới ở ngay Tân Sơn Nhì - Hẻm xe hơi - 4.4m x 14m,"6,3 tỷ",60 m²,4,4,"Tân Phú, Hồ Chí Minh","Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",10.7992044,106.6320132,47,1.404246781152048,1.0500845501066578,1.346518907550206,1.4272928102696132,1.7608934292032719,0.0
GIỎ HÀNG ĐỘC QUYỀN AKARI CITY MUA CHÍNH CHỦ GIÁ: 47TR /97M2 THIẾT KẾ 3PM SỔ CÓ SẴN. 0906 651 ***,"4,56 tỷ",97 m²,3,2,"Bình Tân, Hồ Chí Minh"," Đường Võ Văn Kiệt,  Phường An Lạc,  Bình Tân,  Hồ Chí Minh",10.72606923,106.6198035,37,1.9835681068546924,2.276219403209754,1.2210795305800535,2.012043093516485,0.0,0.0
"Mua Nhà Đẹp, Không Cần Lo Lắng Về Chi Phí Cải Tạo tại Rạch Bùng Binh, P9, Q3|Giá 3,5 tỷ|DT 51,6m2","3,5 tỷ","51,6 m²",5,5,"Quận 3, Hồ Chí Minh","Đường Rạch Bùng Binh, Phường 9, Quận 3, Hồ Chí Minh",10.7826368,106.6796064,779,1.77440013990643,2.04273430624758,1.673279030990332,1.7742547735558571,1.8695703926757965,0.0
